"","id","name","style.ibuMin","style.ibuMax","style.abvMin","style.abvMax","style.srmMin","style.srmMax","labels.icon","labels.medium","labels.large"
"1","c4f2KE","'Murican Pilsner",25,40,5,6,3,6,"https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-large.png"
"3","zfP2fK","12th Of Never",30,42,4.5,5.6,6,14,"https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-large.png"
"5","UJGpVS","16 So Fine Red Wheat Wine",45,85,8.4,12,8,15,"https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-large.png"
"8","Yd8G8r","18th Anniversary Belgian Tripel",20,45,7,10,4,9,"https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-large.png"
"12","MgdJep","200th Anniversary Export Stout",30,60,5.7,9.3,40,40,"https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-large.png"
"13","ISTT06","2017 Beer Camp",50,70,6.3,7.5,6,14,"https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-large.png"
"21","f5CWb6","30th Anniversary - Charlie, Fred & Ken's Bock",20,38,6,8,4,10,"https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-large.png"
"22","0KEzfx","30th Anniversary - Fritz and Ken's Ale",50,80,7,12,40,40,"https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-large.png"
"24","8M5lCq","30th Anniversary - Jack & Ken's Ale",60,100,8.4,12,11,22,"https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-large.png"
"25","ajbd6g","35th Anniversary  - Brewer's Reserve",30,65,7,11,8,21,"https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-icon.png","https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-medium.png","https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-large.png"
