"","cluster_assignment","id","name","style.ibuMin","style.ibuMax","style.abvMin","style.abvMax","style.srmMin","style.srmMax"
"1","2","c4f2KE","'Murican Pilsner",-0.344886141021914,-0.442266454683967,-0.255556049775936,-0.67732316011536,-0.696211667029849,-1.06451781692451
"2","2","zfP2fK","12th Of Never",-0.0674688263670603,-0.363254620065164,-0.586283843635697,-0.838194032369257,-0.445152184314969,-0.424576470334055
"3","2","xwYSL2","15th Anniversary Ale",-0.0674688263670603,-0.244736868136958,-0.38784716731984,-0.757758596242309,-0.277779195838382,-0.424576470334055
"4","6","UJGpVS","16 So Fine Red Wheat Wine",0.7647831175975,1.33549982423911,1.99339294847044,1.73573992369309,-0.277779195838382,-0.344583802010247
"5","9","vz5JZ1","1794 The Fergal Project",0.209948488287793,0.347851891504069,0.20746286162773,0.448772945661918,2.40018861978701,1.65523290608494
"6","2","LcpeBb","17th Saison",-0.622303455676767,-0.442266454683967,-0.586283843635697,0.328119791471496,-0.612525172791555,-0.424576470334055
"7","8","Yd8G8r","18th Anniversary Belgian Tripel",-0.622303455676767,-0.244736868136958,1.06735512566311,0.931385562423609,-0.612525172791555,-0.824539811953092
"8","10","O78ldO","1904 American Red Lager",-1.45455539964133,-1.50892622203782,-1.04930275503936,-1.0795003407501,-0.779898161268142,-1.22450315357213
"9","9","MgdJep","200th Anniversary Export Stout",-0.0674688263670603,0.347851891504069,0.20746286162773,0.64986153597929,2.40018861978701,1.65523290608494
"10","4","ISTT06","2017 Beer Camp",1.04220043225235,0.742911064598087,0.604336214259444,-0.0740573891632468,-0.445152184314969,-0.424576470334055
"11","6","v4KRep","20th Anniversary Imperial Hash IPA on Brett",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"12","7","e9sjBk","21st Anniversary",-0.89972077033162,-1.03485521432499,-0.38784716731984,-0.476234569797989,0.0569667811147919,0.0553795396087898
"13","9","YZXVKq","25th Anniversary",0.209948488287793,-0.047207281589949,0.0751717440838257,0.730296972106238,2.40018861978701,1.65523290608494
"14","2","f5CWb6","30th Anniversary - Charlie, Fred & Ken's Bock",-0.622303455676767,-0.521278289302771,0.405899537943587,0.127031201154124,-0.612525172791555,-0.744547143629284
"15","1","0KEzfx","30th Anniversary - Fritz and Ken's Ale",1.04220043225235,1.13797023769211,1.06735512566311,1.73573992369309,2.40018861978701,1.65523290608494
"16","6","8M5lCq","30th Anniversary - Jack & Ken's Ale",1.59703506156206,1.92808858388014,1.99339294847044,1.73573992369309,-0.0267197131235015,0.215364876256405
"17","8","ajbd6g","35th Anniversary  - Brewer's Reserve",-0.0674688263670603,0.545381478051078,1.06735512566311,1.33356274305835,-0.277779195838382,0.135372207932597
"18","2","NoNhan","420 Extra Pale Ale",-0.0674688263670603,-0.363254620065164,-0.586283843635697,-0.838194032369257,-0.445152184314969,-0.424576470334055
"19","6","pOUbfg","420 Fest",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"20","4","jIKwgZ","420 Strain G13 IPA",1.04220043225235,0.742911064598087,0.604336214259444,-0.0740573891632468,-0.445152184314969,-0.424576470334055
"21","6","lWygSS","471 Double IPA - Hull Melon",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"22","2","fa0oqf","471 ESB - Extra Special Bitter",-0.0674688263670603,-0.244736868136958,-0.38784716731984,-0.757758596242309,-0.277779195838382,-0.424576470334055
"23","6","HZMvCT","471 IPA Barrel Series: Citra",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"24","6","GysKeq","471 IPA Barrel Series: Eureka!",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"25","6","tw2Iw0","471 IPA. Aggressive Hoppiness",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"26","2","GYF0P4","471 Pilsner",-0.344886141021914,-0.442266454683967,-0.255556049775936,-0.67732316011536,-0.696211667029849,-1.06451781692451
"27","4","j9cp5e","471 Small Batch IPA",1.04220043225235,0.742911064598087,0.604336214259444,-0.0740573891632468,-0.445152184314969,-0.424576470334055
"28","4","5MX880","5 C's IPA",1.04220043225235,0.742911064598087,0.604336214259444,-0.0740573891632468,-0.445152184314969,-0.424576470334055
"29","2","uA3MVL","7 Birds",-0.344886141021914,-0.442266454683967,-0.255556049775936,-0.67732316011536,-0.696211667029849,-1.06451781692451
"30","2","Fhw2NF","7 Cities Pilsner",-0.344886141021914,-0.442266454683967,-0.255556049775936,-0.67732316011536,-0.696211667029849,-1.06451781692451
"31","1","MqTIG4","72 Imperial",0.209948488287793,-0.047207281589949,1.06735512566311,1.73573992369309,2.40018861978701,1.65523290608494
"32","2","wDgaK8","A Beer Named Sue",-0.622303455676767,-0.442266454683967,-0.586283843635697,0.328119791471496,-0.612525172791555,-0.424576470334055
"33","6","Au0v9G","A Little Sumpin' Extra",1.87445237621691,1.92808858388014,1.39808291952287,1.13247415274098,-0.528838678553262,-0.504569138657862
"34","2","svXHfu","A Little Sumpin' Sumpin'",-0.0674688263670603,-0.363254620065164,-0.586283843635697,-0.838194032369257,-0.445152184314969,-0.424576470334055
"35","2","hbF6tu","ABLE Best Britter",-0.178435752229002,-0.442266454683967,-0.850866078723507,-1.15993577687705,-0.445152184314969,-0.424576470334055
"36","2","MTLa3r","Afternooner",-0.622303455676767,-0.837325627777985,-0.917011637495459,-0.67732316011536,-0.445152184314969,-0.584561806981669
