bid,group,name,IBU,ABV,SRM,labels_64,labels_256,labels_512
1,8,'Murican Pilsner,32.5,5.5,4.5,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-large.png
2,5,12th Of Never,36,5.05,10,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-large.png
3,12,16 So Fine Red Wheat Wine,65,10.2,11.5,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-large.png
4,3,18th Anniversary Belgian Tripel,32.5,8.5,6.5,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-large.png
5,10,200th Anniversary Export Stout,45,7.5,40,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-large.png
6,19,2017 Beer Camp,60,6.9,10,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-large.png
7,17,"30th Anniversary - Charlie, Fred & Ken's Bock",29,7,7,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-large.png
8,16,30th Anniversary - Fritz and Ken's Ale,65,9.5,40,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-large.png
9,12,30th Anniversary - Jack & Ken's Ale,80,10.2,16.5,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-large.png
10,3,35th Anniversary  - Brewer's Reserve,47.5,9,14.5,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-large.png
