name,bid,group,IBU,ABV,SRM,labels_64,labels_256,labels_512
'Murican Pilsner,1,8,39 ,48 ,11 ,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-large.png
12th Of Never,2,5,44 ,44 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_nSMNjh-large.png
16 So Fine Red Wheat Wine,3,12,79 ,89 ,29 ,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/UJGpVS/upload_K4w7gB-large.png
18th Anniversary Belgian Tripel,4,3,39 ,74 ,16 ,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Yd8G8r/upload_tFSifO-large.png
200th Anniversary Export Stout,5,10,55 ,65 ,100 ,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/MgdJep/upload_Z7FPX3-large.png
2017 Beer Camp,6,19,73 ,60 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISTT06/upload_uNRmiy-large.png
"30th Anniversary - Charlie, Fred & Ken's Bock",7,17,35 ,61 ,18 ,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-large.png
30th Anniversary - Fritz and Ken's Ale,8,16,79 ,83 ,100 ,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-large.png
30th Anniversary - Jack & Ken's Ale,9,12,97 ,89 ,41 ,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-large.png
35th Anniversary  - Brewer's Reserve,10,3,58 ,78 ,36 ,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-large.png
420 Extra Pale Ale,11,5,44 ,44 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/NoNhan/upload_FgWgmB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/NoNhan/upload_FgWgmB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/NoNhan/upload_FgWgmB-large.png
420 Strain G13 IPA,12,19,73 ,60 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/jIKwgZ/upload_fypFIo-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/jIKwgZ/upload_fypFIo-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/jIKwgZ/upload_fypFIo-large.png
471 Double IPA - Hull Melon,13,12,100 ,78 ,23 ,https://brewerydb-images.s3.amazonaws.com/beer/lWygSS/upload_krkDHm-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/lWygSS/upload_krkDHm-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/lWygSS/upload_krkDHm-large.png
471 Small Batch IPA,14,19,73 ,60 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/j9cp5e/upload_YlBItH-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/j9cp5e/upload_YlBItH-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/j9cp5e/upload_YlBItH-large.png
7 Cities Pilsner,15,8,39 ,48 ,11 ,https://brewerydb-images.s3.amazonaws.com/beer/Fhw2NF/upload_4QscTY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Fhw2NF/upload_4QscTY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Fhw2NF/upload_4QscTY-large.png
72 Imperial,16,16,52 ,83 ,100 ,https://brewerydb-images.s3.amazonaws.com/beer/MqTIG4/upload_0mNn6W-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/MqTIG4/upload_0mNn6W-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/MqTIG4/upload_0mNn6W-large.png
A Little Sumpin' Extra,17,12,100 ,78 ,23 ,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-large.png
A Little Sumpin' Sumpin',18,5,44 ,44 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-large.png
ABLE Best Britter,19,5,41 ,39 ,25 ,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-large.png
